"_id","title","description","category","city","locality","dateTime","capacity","organizerName","organizerId","sourcePlatform","trustScore","popularityScore","organizerRating","imageUrl","attendees","registrationLink","postLink","posterImageUrl","eventType","eventAddress","onlineLink","status","skills","aiSuccessScore","isDeleted","deletionReason","createdAt","updatedAt","__v"
"69744ced4e747d6775ee8a2a","music concert","Experience electrifying live performances from talented artists, bands, and DJs. From soulful acoustic nights to high-energy concerts, this event promises unforgettable music, vibrant vibes, and an atmosphere full of rhythm and excitement.","Music","Rajkot","Rajkot","2026-01-27T08:38:00.000Z",50,"GCET","69741e7525cb291dba6d75b4","Manual",70,0,0,"https://images.unsplash.com/photo-1514320291840-2e0a9bf2a9ae?w=800&h=400&fit=crop","[]","","","","offline","{""street"":"""",""city"":""Rajkot"",""state"":"""",""pincode"":""360001"",""fullAddress"":""Opposite Shastri Maidan, Near Rajkumar College,\nLimda Chowk, Jawahar Road,\nRajkot, Gujarat - 360001 "",""location"":{""type"":""Point"",""coordinates"":[70.7868668,22.2638082]}}","","upcoming","[""Art"",""Music""]",0,false,"","2026-01-24T04:39:09.300Z","2026-01-24T04:39:09.300Z",0
"69744f414e747d6775ee8b1a","technical seminar","Dive into the world of technology, innovation, and future-ready skills. Tech events bring together developers, engineers, startups, and tech enthusiasts to explore cutting-edge trends like AI, cybersecurity, cloud computing, and software development. Participate in hackathons, coding workshops, product launches, and expert talks to learn, collaborate, and build impactful solutions.","Other","ahemdabad","ahemdabad","2026-01-30T04:48:00.000Z",100,"Creson solution","69744e7d4e747d6775ee8b01","Manual",70,0,0,"http://localhost:5000/uploads/upload_1769230069632_66417498.png","[]","","","http://localhost:5000/uploads/upload_1769230069632_66417498.png","offline","{""street"":"""",""city"":""ahemdabad"",""state"":"""",""pincode"":""380026"",""fullAddress"":""Amraiwadi "",""location"":{""type"":""Point"",""coordinates"":[72.6292121,23.0023795]}}","","upcoming","[""Art"",""Cybersecurity"",""AI""]",0,false,"","2026-01-24T04:49:05.867Z","2026-01-24T04:49:05.867Z",0
"697450e64e747d6775ee8b32","Foodie Fiesta","Foodie Fiesta is a vibrant celebration of flavors, aromas, and culinary creativity. From sizzling street food and regional specialties to gourmet delights and desserts, this event brings food lovers together for an unforgettable taste journey. Enjoy live cooking shows, food stalls from top vendors, fun activities, and a lively atmosphere filled with music and excitement.","Food","ahemdabad","Vadodara","2026-01-31T04:54:00.000Z",100,"Creson solution","69744e7d4e747d6775ee8b01","Manual",70,0,0,"http://localhost:5000/uploads/upload_1769230289738_622233646.png","[]","","","http://localhost:5000/uploads/upload_1769230289738_622233646.png","offline","{""street"":"""",""city"":""ahemdabad"",""state"":"""",""pincode"":""391440"",""fullAddress"":""1449, Aakashdeep Society, Behind All India Radio Station, Makarpura Road, Vadodara, Gujarat"",""location"":{""type"":""Point"",""coordinates"":[73.0854381,22.2467155]}}","","upcoming","[""Cooking"",""Music""]",0,true,"duplicate
","2026-01-24T04:56:06.898Z","2026-01-25T09:39:17.410Z",0
"697451d34e747d6775ee8b6c","Artistry Unleashed","Artistry Unleashed is a creative celebration showcasing paintings, sketches, sculptures, and digital art by talented artists. Experience live art demonstrations, interactive exhibits, and inspiring conversations with creators. This event invites art lovers to explore imagination, emotions, and stories expressed through colors and forms.","Art","Rajkot","Surat","2026-01-28T04:59:00.000Z",150,"GCET","69741e7525cb291dba6d75b4","Manual",70,15,0,"http://localhost:5000/uploads/upload_1769230691102_283464941.png","[]","","","http://localhost:5000/uploads/upload_1769230691102_283464941.png","offline","{""street"":"""",""city"":""Rajkot"",""state"":"""",""pincode"":""395009"",""fullAddress"":""Near Ambika Vijsy Soc. Near J.K. Petrol Pump,, Hira Baug ,varachha, Surat, Gujarat"",""location"":{""type"":""Point"",""coordinates"":[72.7891861,21.2010698]}}","","upcoming","[""Art"",""AI""]",0,false,"","2026-01-24T05:00:03.337Z","2026-01-24T06:04:23.587Z",0
"697451dad26dac9a34f7d667","Corporate Harmony Meet 2026","A full-day corporate engagement event designed to strengthen teamwork and leadership through interactive activities, keynote sessions, ice-breaker games, and a themed networking dinner. Includes stage setup, AV, branding, and on-ground coordination by Happy Feet India.","Workshop","Vadodara","Vadodara","2026-01-28T04:58:00.000Z",50,"Happy feet group","69745015d26dac9a34f7d64b","Manual",70,0,0,"https://images.unsplash.com/photo-1552664730-d307ca884978?w=800&h=400&fit=crop","[]","","","","offline","{""street"":"""",""city"":""Vadodara"",""state"":"""",""pincode"":""390007"",""fullAddress"":""Inorbit Mall Convention Hall, Race Course Road, Alkapuri, Vadodara"",""location"":{""type"":""Point"",""coordinates"":[73.1656754,22.3080605]}}","","upcoming","[""Leadership"",""Networking"",""Design"",""Teamwork""]",0,false,"","2026-01-24T05:00:10.601Z","2026-01-24T05:00:10.601Z",0
"697455d0254d88aa257bfd02","Kids Carnival: Little Explorers Fest","A fun-filled children’s carnival featuring art & craft workshops, storytelling sessions, magic shows, mascot performances, and safe play zones. Designed to encourage creativity and social interaction among kids aged 4–12.","Workshop","Vadodara","Vadodara","2026-01-29T05:16:00.000Z",50,"Happy feet group","69745015d26dac9a34f7d64b","Manual",70,5,0,"https://images.unsplash.com/photo-1552664730-d307ca884978?w=800&h=400&fit=crop","[]","","","","offline","{""street"":"""",""city"":""Vadodara"",""state"":"""",""pincode"":""390021"",""fullAddress"":""Sayaji Garden Open Ground, Kala Ghoda Circle, Vadodara"",""location"":{""type"":""Point"",""coordinates"":[73.1450702,22.3171638]}}","","completed","[""Design"",""Art""]",0,false,"","2026-01-24T05:17:04.606Z","2026-01-24T05:40:18.690Z",0
"69745703254d88aa257bfd4c","Royal Rajasthani Theme Night","An elegant theme party inspired by royal Rajasthani culture with traditional décor, folk dance performances, live music, themed food counters, and immersive lighting. Ideal for corporate celebrations and private gatherings.","Workshop","Vadodara","Vadodara","2026-01-27T05:20:00.000Z",49,"Happy feet group","69745015d26dac9a34f7d64b","Manual",70,0,0,"https://images.unsplash.com/photo-1524178232363-1fb2b075b655?w=800&h=400&fit=crop","[]","","","","offline","{""street"":"""",""city"":""Vadodara"",""state"":"""",""pincode"":""390011"",""fullAddress"":""Laxmi Vilas Palace Banquet Lawn, J N Marg, Vadodara"",""location"":{""type"":""Point"",""coordinates"":[73.1911324,22.2753041]}}","","upcoming","[""Art"",""Music""]",0,true,"scam","2026-01-24T05:22:11.927Z","2026-01-25T06:35:17.808Z",0
"6975b848e693b9cfe90789f2","tech","tech seminar","Workshop","Rajkot","rajkot","2026-01-28T06:29:00.000Z",99,"GCET","69741e7525cb291dba6d75b4","Manual",60,10,0,"https://images.unsplash.com/photo-1552664730-d307ca884978?w=800&h=400&fit=crop","[]","","","","offline","{""street"":"""",""city"":""Rajkot"",""state"":"""",""pincode"":""360004"",""fullAddress"":""near balaji hall"",""location"":{""type"":""Point"",""coordinates"":[70.7868668,22.2638082]}}","","upcoming","[]",0,false,"","2026-01-25T06:29:28.731Z","2026-01-25T09:36:25.861Z",0
"6975ca4a55e0168e421b199d","GitHub Copilot Workshop","This is an event in how to use GitHub Copilot for begineers","Workshop","Anand","Anand","2026-01-27T07:44:00.000Z",50,"Dhruvi Patel","6975c93f55e0168e421b1984","Manual",70,0,0,"https://images.unsplash.com/photo-1517245386807-bb43f82c33c4?w=800&h=400&fit=crop","[]","","","","offline","{""street"":"""",""city"":""Anand"",""state"":"""",""pincode"":""388001"",""fullAddress"":""AI Complex, Nana Bazar, Anand-388001"",""location"":{""type"":""Point"",""coordinates"":[72.9676689,22.556616]}}","","upcoming","[]",0,false,"","2026-01-25T07:46:18.079Z","2026-01-25T07:46:18.079Z",0
"6975e3897dd666827bfa74fa","seminar","seminar","Meetup","Rajkot","rajkot","2026-01-29T09:33:00.000Z",99,"GCET","69741e7525cb291dba6d75b4","Manual",60,10,0,"https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=800&h=400&fit=crop","[]","","","","offline","{""street"":"""",""city"":""Rajkot"",""state"":"""",""pincode"":""360001"",""fullAddress"":""pedak road"",""location"":{""type"":""Point"",""coordinates"":[70.792795,22.2932425]}}","","completed","[]",0,false,"","2026-01-25T09:34:01.631Z","2026-01-25T09:40:33.703Z",0